Nom: crown10
Oriente(non/oui): non
NbSommets: 20
NbValSommet: 0
NbArcs: 90
NbValArc: 0
--- Liste des sommets
0 id0
1 id1
2 id2
3 id3
4 id4
5 id5
6 id6
7 id7
8 id8
9 id9
10 id10
11 id11
12 id12
13 id13
14 id14
15 id15
16 id16
17 id17
18 id18
19 id19
--- Liste des aretes
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 0
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 9
2 0
2 1
2 3
2 4
2 5
2 6
2 7
2 8
2 9
3 0
3 1
3 2
3 4
3 5
3 6
3 7
3 8
3 9
4 0
4 1
4 2
4 3
4 5
4 6
4 7
4 8
4 9
5 0
5 1
5 2
5 3
5 4
5 6
5 7
5 8
5 9
6 0
6 1
6 2
6 3
6 4
6 5
6 7
6 8
6 9
7 0
7 1
7 2
7 3
7 4
7 5
7 6
7 8
7 9
8 0
8 1
8 2
8 3
8 4
8 5
8 6
8 7
8 9
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
